   ,HOST_EXT_ID,WT_A_1_WGT,WT_A_2_WGT,WT_A_3_WGT,WT_A_4_WGT,WT_A_5_WGT,WT_A_6_WGT,WT_A_7_WGT,WT_F_1_WGT,WT_F_2_WGT,WT_F_3_WGT,WT_F_4_WGT,WT_F_5_WGT,WT_F_6_WGT,WT_F_7_WGT,WT_P_1_WGT,WT_P_2_WGT,WT_P_3_WGT,WT_P_4_WGT,WT_P_5_WGT,WT_P_6_WGT,WT_P_7_WGT,WT_A_1_CUBE,WT_A_2_CUBE,WT_A_3_CUBE,WT_A_4_CUBE,WT_A_5_CUBE,WT_A_6_CUBE,WT_A_7_CUBE,WT_F_1_CUBE,WT_F_2_CUBE,WT_F_3_CUBE,WT_F_4_CUBE,WT_F_5_CUBE,WT_F_6_CUBE,WT_F_7_CUBE,WT_P_1_CUBE,WT_P_2_CUBE,WT_P_3_CUBE,WT_P_4_CUBE,WT_P_5_CUBE,WT_P_6_CUBE,WT_P_7_CUBE
64,S-2277,0,1325.0171,7494.9078,0,10471.9437,738.781,3819.8892,0,3630.975,8328.4222,0,0,0,798.0292,0,8333.3245,11721.6679,0,16896.3309,8567.3861,12218.4764,0,64.5753,514.3799,0,804.8969,68.9606,220.9795,0,287.4491,671.8199,0,0,0,53.1885,0,596.0769,797.6383,0,1051.1485,671.1031,957.0924
65,S-3203,0,2301.6929,0,1257.7496,0,1398.1634,5369.2833,0,66.0223,0,0,0,204.3014,0,0,1273.9627,0,0,0,121.6448,0,0,88.5885,0,65.2115,0,60.226,272.608,0,4.0502,0,0,0,13.1122,0,0,123.8668,0,0,0,22.1373,0
66,S-6608,0,12371.4466,6279.2584,14104.2333,16622.4559,11026.6547,14092.0641,0,3375.1153,0,3644.4179,3742.1097,3737.7099,1998.5865,6903.595,11740.4358,6337.0028,9244.1518,12717.0121,12167.98,7813.3113,0,727.6382,409.9391,952.7796,1025.5314,688.7883,764.0736,0,245.9665,0,264.0459,275.8229,277.357,163.0384,434.102,813.0168,411.566,612.8757,809.811,880.7524,556.2497
67,S-6609,0,17623.0303,3364.1196,8808.5162,7649.2918,12152.3785,7770.8564,0,3799.9085,4320.8282,0,4489.482,0,3380.6382,5946.5953,12568.0652,8379.4607,10044.3441,14980.3897,13992.7789,3825.1808,0,1200.761,197.6012,545.609,488.2992,699.9774,477.5958,0,325.4843,320.3015,0,337.3653,0,258.1295,364.6038,884.7975,534.8889,675.2006,1017.4698,1020.0814,258.8159
68,S-6615,0,11804.4634,3178.2376,13467.7239,12972.5434,12454.0546,3717.2692,0,2993.0326,3166.3018,0,4656.9977,0,3286.3749,7560.0639,15205.6963,5874.103,11086.2382,6842.767,16673.7081,0,0,689.1278,195.2944,975.962,719.3463,719.0864,261.1669,0,261.3995,256.9271,0,365.4877,0,258.565,460.9744,1074.7682,344.2372,721.0778,375.8255,1190.1243,0
69,S-6642,11517.7939,25489.6583,19031.623,0,15112.0666,7815.7015,22314.744,0,4691.6021,3903.6565,0,5001.2663,2955.9765,3648.1083,12474.9467,14078.0239,11386.2011,0,13549.3274,10030.451,0,630.7886,1597.4623,1262.9708,0,921.8317,461.4337,1115.0727,0,378.4139,298.2633,0,386.7706,241.6243,287.4125,895.898,961.9873,724.5213,0,901.6617,653.2014,0
70,S-6686,0,14067.6618,14421.0032,0,17372.938,15247.5376,14362.1429,0,4910.2194,4845.1198,0,5271.0039,3205.0727,4985.3295,8464.7924,16029.3388,12724.3988,0,17334.3934,21261.1148,16456.7336,0,819.2448,1056.6051,0,1097.3618,870.71,880.1325,0,420.4216,382.289,0,407.3348,266.7318,402.5104,602.9412,1106.0838,806.9483,0,1204.7009,1350.9476,1156.7273
71,S-7623,0,1496.0148,2421.3924,0,1967.7237,2230.166,2027.1477,0,980.9575,667.3798,0,0,717.2026,801.3198,0,4019.0022,3556.4868,0,3306.2968,4524.2816,3731.318,0,116.2617,144.1987,0,129.1454,172.4597,125.5077,0,73.6519,48.0235,0,0,52.3323,57.5155,0,227.0649,231.2857,0,201.4015,282.7481,254.512
72,S-7638,3232.5956,1298.1151,0,3489.8801,3211.09,2385.7878,0,495.4011,1078.2275,830.0015,0,1084.112,925.5322,1215.1276,4295.1897,2372.6748,0,4003.7329,6599.7214,4971.0219,0,230.057,65.2066,0,248.4737,196.8291,144.7338,0,28.6332,115.0816,78.8306,0,97.7334,87.4051,103.6906,270.2689,156.8039,0,269.5996,429.032,341.2926,0
73,S-902,8181.2095,0,12134.3061,0,0,11969.1579,0,0,2648.0315,1329.622,2898.6569,1379.8658,3332.974,0,0,6383.0709,7078.1868,0,9938.4492,11598.6112,9772.9844,476.345,0,810.7748,0,0,754.6679,0,0,196.4503,74.8077,198.0645,95.4764,234.057,0,0,401.7711,441.8305,0,619.4883,751.0682,610.8011
