"   ","HOST_EXT_ID","WT_A_1_WGT","WT_A_2_WGT","WT_A_3_WGT","WT_A_4_WGT","WT_A_5_WGT","WT_A_6_WGT","WT_A_7_WGT","WT_F_1_WGT","WT_F_2_WGT","WT_F_3_WGT","WT_F_4_WGT","WT_F_5_WGT","WT_F_6_WGT","WT_F_7_WGT","WT_P_1_WGT","WT_P_2_WGT","WT_P_3_WGT","WT_P_4_WGT","WT_P_5_WGT","WT_P_6_WGT","WT_P_7_WGT","WT_A_1_CUBE","WT_A_2_CUBE","WT_A_3_CUBE","WT_A_4_CUBE","WT_A_5_CUBE","WT_A_6_CUBE","WT_A_7_CUBE","WT_F_1_CUBE","WT_F_2_CUBE","WT_F_3_CUBE","WT_F_4_CUBE","WT_F_5_CUBE","WT_F_6_CUBE","WT_F_7_CUBE","WT_P_1_CUBE","WT_P_2_CUBE","WT_P_3_CUBE","WT_P_4_CUBE","WT_P_5_CUBE","WT_P_6_CUBE","WT_P_7_CUBE"
"45","S-987","0","79841.736","51970.2025","0","91764.7758","57329.5239","80111.2072","0","32362.8875","0","41348.5707","0","34812.0636","0","70788.7602","13620.2136","63781.5727","45230.6477","99335.71","34434.2991","82586.5916","0","5820.2153","2981.2051","0","5327.2054","3503.8001","5202.2896","0","2432.2496","0","2941.8684","0","2488.5059","0","4841.0138","1234.2974","4232.6261","3888.0562","6486.8505","2525.2396","5486.3781"
"46","S-993","133408.7753","0","177824.0393","0","180545.0768","0","175776.7635","59326.4724","0","0","69190.135","0","49886.6562","0","191988.8448","249506.1228","0","216539.2735","0","254673.1773","0","9258.1629","0","12230.1505","0","11641.0134","0","12295.5563","4316.6803","0","0","5208.4766","0","3593.3808","0","13265.7346","16484.6497","0","14646.4713","0","16964.5086","0"
"47","S-999","133528.4511","154600.3744","0","226797.2813","135456.9705","167533.9731","140152.7595","0","80301.3681","0","0","71423.7776","0","76945.1294","155375.8939","283003.9752","0","198856.4329","159269.6543","196696.9192","212217.9895","8235.4288","9214.0864","0","17253.3466","9041.9083","10868.48","9153.7313","0","5941.3237","0","0","5539.0115","0","5860.8924","11599.6759","18649.4489","0","13428.2679","11852.7322","14375.1551","13345.5346"
"48","S-135","0","0","62092.6892","0","38851.9923","0","40368.4824","0","0","20253.1969","0","10597.6967","0","14728.218","0","39905.1396","46361.6178","0","60924.8636","0","44786.1087","0","0","4197.3493","0","2597.3471","0","2392.6119","0","0","1533.9457","0","825.9924","0","1140.4819","0","2577.3583","3342.7917","0","4189.9288","0","3052.1276"
"49","S-152","0","80940.748","0","131674.7626","0","0","124998.7229","0","43029.5315","0","0","41686.0699","0","30388.1024","0","110726.677","0","124541.1967","0","50967.6332","138900.5256","0","5237.0224","0","8715.3168","0","0","8011.9285","0","2954.6601","0","0","2935.118","0","2072.4405","0","7583.625","0","8662.2269","0","3636.3112","9644.6141"
"50","S-2213","0","265110.6153","0","378690.9092","0","203939.0458","258231.4275","0","124278.5116","0","0","107115.1242","0","97368.7139","114927.7503","174106.1824","108953.8031","158930.5839","311473.8878","0","208612.1532","0","16281.5559","0","25430.4114","0","12070.1717","15311.6884","0","8783.2478","0","0","7433.796","0","6804.2441","7827.7552","10864.3812","7648.5548","9952.7126","20810.7222","0","14055.6927"
"51","S-2240","93456.2667","0","103725.3061","0","137471.3355","0","86218.7032","56688.3556","0","0","45326.2379","0","43877.3078","0","124464.8616","159646.5831","0","128482.3928","0","151739.6037","0","6231.6478","0","6915.1055","0","9297.8007","0","5848.3823","4147.4063","0","0","3329.3978","0","3144.3988","0","8414.1921","10505.1549","0","8400.7594","0","9765.4797","0"
"52","S-3","0","0","42692.1994","0","34610.7206","0","36814.1601","0","0","8223.8027","0","10185.0156","0","10484.6231","0","0","34783.348","0","42838.5516","0","40986.9691","0","0","3007.7792","0","2057.716","0","2285.1014","0","0","612.6517","0","903.9762","0","802.6721","0","0","2484.3489","0","3165.8058","0","2907.6892"
"53","S-6619","0","18928.8233","24933.3746","0","27741.5782","0","23104.2732","0","6626.3977","0","6919.0854","0","9386.1794","0","22059.7839","23933.3794","29270.7045","0","31514.1417","0","30000.1588","0","955.2887","2274.4562","0","1869.2593","0","1375.2781","0","560.9312","0","560.9701","0","726.9417","0","2171.2095","1400.9489","2648.4071","0","2338.8809","0","2126.8902"
"54","S-6650","9732.8215","0","99795.5761","0","55403.3614","0","62075.2727","0","0","24178.765","0","24114.8487","0","23889.4536","76726.7377","4922.1202","96111.1316","0","37285.8935","76958.852","0","707.1277","0","6631.9786","0","3426.9721","0","3770.3667","0","0","1815.0232","0","1783.719","0","1748.656","5549.2197","361.402","8756.2172","0","2568.4128","5679.8271","0"
"55","S-6670","0","12280.0448","31938.4728","0","30326.2086","0","34520.9972","0","5756.3911","0","6664.4065","0","8298.7506","0","22882.572","26487.1046","33408.8476","0","35230.1768","0","29191.6449","0","631.0865","2453.1515","0","1997.4677","0","2107.659","0","443.1155","0","557.153","0","626.7935","0","1933.0915","1699.8494","2647.465","0","2450.1794","0","2082.0173"
"56","S-904","39385.7031","149924.6094","106921.587","146968.2484","154538.4305","136550.7174","113064.0497","0","58907.1725","0","63488.3334","0","55176.4954","54356.9165","149218.6388","154747.3116","108737.0829","142255.2099","152143.0583","158879.12","155909.6047","2351.2452","8562.3214","6831.3038","10785.6108","9614.0092","9082.3037","6799.5528","0","4302.082","0","4567.3374","0","4071.2389","3911.0949","9211.8913","10962.6841","6828.3997","9497.3784","10328.5283","10570.7257","10912.8965"
"57","S-929","43900.6579","68370.8068","0","74904.1382","49259.9626","40341.8562","78830.3582","0","26318.0207","0","29842.7918","0","30353.3195","0","31763.2213","52556.6142","45567.5619","35848.9812","74340.007","45365.9348","73939.3939","2302.0793","4557.7412","0","4509.6631","2815.2043","2219.5111","4986.9869","0","1946.33","0","2204.738","0","2139.9345","0","2335.2969","3392.5987","3353.3786","2673.6214","5268.181","3436.2187","5222.1716"
"58","S-951","0","0","98192.4213","0","70828.7747","0","67890.3652","0","0","23455.4281","0","25745.3317","0","20342.1013","65584.399","73342.8198","0","58742.9692","0","72620.8201","44972.2916","0","0","6937.5614","0","4816.8971","0","4298.2649","0","0","1851.9123","0","1973.2344","0","1562.6275","4611.4236","5518.1194","0","4563.5883","0","5048.5366","3291.2363"
"59","S-956","0","98585.3626","0","70036.1898","0","71016.9967","48148.2476","0","0","38315.6907","0","37575.9236","0","32681.0146","72344.3288","61917.8054","0","106302.2479","0","95725.812","42884.7338","0","7012.1942","0","4607.8299","0","3982.5905","2880.3769","0","0","2848.5579","0","2721.1557","0","2554.6887","5145.4311","4070.9378","0","7484.3509","0","6519.2523","3332.3893"
"60","S-962","94465.2878","51344.4784","0","99928.8576","0","84294.7469","0","0","38520.4099","0","46186.3829","0","37036.3125","0","84218.7963","95180.5515","0","112566.6262","0","103612.7841","42667.8297","6221.5271","4284.1328","0","6162.1627","0","5079.093","0","0","2934.8169","0","3295.2088","0","2750.2162","0","5745.7476","6165.0766","0","7568.3662","0","7136.2262","3166.4565"
"61","S-145","0","119241.1617","0","74929.8619","0","87795.7332","0","0","0","32683.505","0","34415.3448","0","32510.0754","0","48929.3331","99806.1564","0","121446.6904","0","94908.1385","0","8017.5716","0","4459.9532","0","5474.7616","0","0","0","2407.4238","0","2520.0821","0","2585.6044","0","3167.8843","7202.1758","0","9127.0989","0","6963.3196"
"62","S-148","57848.3755","0","0","71161.7443","0","51794.8006","0","0","0","28636.1718","0","27753.4288","0","24059.1058","0","44996.1933","62723.5781","0","73298.7269","0","67319.147","3395.124","0","0","5202.9889","0","3174.081","0","0","0","2108.436","0","2036.6975","0","1814.1782","0","3069.3386","4436.9534","0","5253.4176","0","4736.7085"
"63","S-2221","0","0","145202.1439","0","125744.2231","0","160632.2875","0","50800.6219","0","0","55280.4596","0","44017.4087","157976.9045","153147.483","0","166522.9629","0","198002.8734","0","0","0","10201.2232","0","7966.9196","0","10473.7924","0","3789.2678","0","0","4156.9248","0","3315.6833","11057.1989","9950.6146","0","11762.656","0","13205.6806","0"
"64","S-2277","0","0","20144.9036","0","54796.8924","0","21635.3358","0","0","40324.3394","0","0","0","3565.2034","0","0","71825.4272","0","86760.1027","0","76353.085","0","0","1571.7866","0","4411.3214","0","1044.3838","0","0","3931.8511","0","0","0","213.8167","0","0","5397.5841","0","5934.7288","0","5419.7486"
"65","S-6608","0","25273.7488","5541.0081","28051.0639","0","23307.6385","0","0","7118.222","0","7355.7685","0","7457.6935","0","20682.7095","25729.7204","2826.5227","27649.6986","0","26248.0204","0","0","1475.7663","309.6719","2129.2407","0","1488.286","0","0","522.0414","0","570.7023","0","568.2644","0","1852.9321","1965.6001","174.0818","2499.2094","0","2155.5526","0"
"66","S-6609","0","38576.7044","4078.7231","20558.1195","0","23040.9252","0","0","0","6954.3363","0","6363.0273","0","6286.642","15022.8446","22806.4541","9468.5485","28554.6218","0","30001.9807","0","0","3177.8593","268.1596","1213.0362","0","1584.3549","0","0","0","501.8583","0","536.999","0","485.5505","1401.8036","1704.2784","587.3791","2684.0918","0","2375.0901","0"
"67","S-6615","0","24244.8207","3639.7668","29134.9827","0","28546.8161","4251.0329","0","0","7375.291","0","7738.3634","0","5110.2586","15549.1675","39171.5569","6048.8281","51344.6457","0","31741.2918","0","0","1319.9251","198.8202","2404.8694","0","1822.7449","403.7497","0","0","589.9044","0","628.7069","0","385.5091","953.8221","3344.9285","387.9373","6022.6778","0","2295.7368","0"
"68","S-6642","14416.0914","0","133451.4139","0","90618.3113","0","102413.8194","0","0","26904.4323","0","19976.1707","0","30801.1846","68464.3244","10627.7661","102617.001","0","64402.249","75513.549","0","969.1974","0","9870.6689","0","5368.4555","0","5972.9485","0","0","2068.7691","0","1612.9299","0","2242.4721","5102.3842","729.03","8868.3025","0","4192.1238","5497.237","0"
"69","S-6686","0","27095.2786","37881.5817","0","32406.0443","0","23147.4467","0","0","9526.3472","0","9089.2797","0","7830.3099","23736.1315","33648.3832","27229.8804","0","35917.31","0","31077.8431","0","1732.4842","3221.9067","0","2191.9948","0","1402.94","0","0","774.913","0","728.4666","0","632.9222","2408.4534","2395.312","1656.3945","0","2666.5214","0","2194.5979"
"70","S-7623","0","0","36914.0626","0","29198.1636","0","26850.9627","0","0","9747.2795","0","0","0","10385.0882","0","0","55181.3093","0","54707.1689","0","49001.9576","0","0","2218.5981","0","1858.4878","0","1766.8383","0","0","726.5726","0","0","0","745.4348","0","0","3739.0334","0","3529.364","0","3165.1064"
"71","S-7638","23942.3885","0","0","25925.5977","0","19276.1841","0","0","0","6335.0974","0","7671.8899","0","8572.2834","29732.0749","15930.6426","0","28752.5716","0","40925.0586","0","1793.1501","0","0","1962.9194","0","1105.5159","0","0","0","606.7949","0","741.812","0","780.9058","1896.6104","1046.88","0","2124.9962","0","3202.4423","0"
"72","S-902","145838.2812","0","201129.5885","0","0","190350.573","0","0","44327.5296","0","40320.261","0","47951.6349","0","0","103033.3925","99388.2103","0","162047.9055","0","152483.8838","8586.9918","0","13213.48","0","0","12619.0883","0","0","3335.5362","0","2744.7188","0","3427.5646","0","0","6590.3691","6614.8064","0","11070.5734","0","10411.7181"
"73","S-973","0","61133.9286","55656.1348","0","59837.5184","0","59834.9778","0","0","22830.0049","0","29525.8514","0","24567.9956","39382.1596","54404.2353","84687.9389","0","77899.7113","0","79096.219","0","3999.6558","3930.9283","0","4051.5802","0","3724.1826","0","0","1750.1906","0","2232.8564","0","1923.845","3040.3558","3222.4894","6255.2498","0","5224.5998","0","5760.1322"
"74","S-927","0","0","1153.8021","0","0","1043.336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101.5955","0","0","157.2884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","S-2242","0","0","226523.5145","0","213610.4248","0","247808.7985","70262.2199","0","0","62203.9409","0","73522.0828","0","0","147421.8299","156397.3172","0","229900.0112","0","239447.7196","0","0","15582.3636","0","13783.0944","0","16004.2567","4935.1985","0","0","4430.0379","0","5293.2593","0","0","9981.2486","10581.1086","0","15530.7597","0","16228.3883"
"76","S-2263","0","0","160199.2481","0","191642.3031","0","195371.6095","48866.3361","0","57860.761","0","0","59585.9818","0","151965.4501","173066.4734","0","151549.961","0","200298.744","0","0","0","10263.4431","0","13428.1805","0","12936.0933","3646.733","0","4204.3814","0","0","4516.2775","0","11024.263","12088.4123","0","10577.6023","0","13801.403","0"
"77","S-2298","31043.1271","198142.6735","0","250637.8953","0","166020.1238","140426.5096","0","74570.7173","0","85295.9122","0","0","79008.6685","133069.755","153179.9092","235039.2026","0","182265.9184","131039.8455","187627.3792","1690.8456","12239.3291","0","18399.7921","0","10493.9949","9653.511","0","5479.6569","0","6355.0193","0","0","6035.0616","9744.4807","10100.7156","15769.9849","0","12192.1057","9967.9227","11955.1532"
"78","S-33","0","41381.4481","0","0","31742.4785","0","32232.9489","10157.2027","0","0","10415.0239","0","10513.7397","0","65498.8207","0","0","30795.6521","0","47426.6658","0","0","2580.4663","0","0","1853.1361","0","2267.055","798.2917","0","0","796.4754","0","790.9682","0","4828.1833","0","0","2226.6888","0","3556.0644","0"
"79","S-6607","22487.157","7190.2615","0","25239.4004","0","34521.7159","0","0","8254.1897","0","6061.8821","0","8165.8368","0","21484.2869","39726.1441","0","31082.4396","0","42899.7601","0","1187.1711","515.6698","0","1874.7956","0","2413.8343","0","0","615.4781","0","480.4708","0","650.8228","0","1524.1844","3214.9717","0","2288.831","0","3496.1755","0"
"80","S-70","0","49899.8774","30703.0371","0","42604.9163","0","47652.4621","0","0","17892.5742","0","19394.2553","0","18698.9654","0","37378.1743","54191.7772","0","71662.561","0","74627.3962","0","3608.2608","1872.3382","0","2672.485","0","3791.1229","0","0","1305.9678","0","1365.4196","0","1383.4951","0","2526.648","3772.319","0","5522.0045","0","5856.6285"
"81","S-907","156307.0756","136448.5416","145874.8692","0","145058.8171","156154.4889","137004.3657","0","0","85049.0223","0","102338.2698","0","104868.2772","142427.9877","160976.5059","263843.5056","0","225055.9644","153178.5552","230371.6275","9622.1971","8439.319","9085.3341","0","12018.1793","10755.4527","8586.8073","0","0","6401.4754","0","7437.2537","0","7783.8535","9986.8335","10526.4938","17109.5395","0","14058.3637","10843.0617","14183.0173"
"82","S-946","0","161854.3015","0","233254.3778","0","136549.3301","133704.8058","0","61132.6583","0","0","61126.825","0","54568.3884","152313.7803","162708.9975","0","154808.9881","0","202734.7992","0","0","9381.1167","0","16725.2153","0","8812.9689","7670.2434","0","4278.6937","0","0","4254.8877","0","3869.2329","10594.7939","10984.9069","0","9770.6469","0","13290.405","0"
